식당(ID),식당명,지점명,지역명,어워드정보설명,(RTI)지수,온라인화진행여부,수용태세지수,인기도,트립어드바이저평점,씨트립평점,네이버평점
61705,촌국수,,강동구,,4.0717341,N,0.2,0.02,,,4.29
61706,딱한잔,,강동구,,0.910544,N,0.204,,,,
61707,이디야커피,강서한강자이점,강서구,,4.1547119,Y,0.156,0.07,,,
61708,왔다곱창볶음,,관악구,,3.8151542,N,0.216,0.01,,,4.66
61709,봉메밀,,강동구,,4.4161745,Y,0.218,0.33,,,4.39
61710,털보네쪽갈비,,강북구,,4.4579393,N,0.268,0.33,,,4.38
61711,네네치킨,신림점,관악구,,4.2504052,Y,0.252,0.19,,,4.24
61712,차콜로스터커피,,강서구,,3.90947,N,0.249,0.01,,,4.53
61713,치킨마루,수유 화계사점,강북구,,4.297264,Y,0.217,0.02,,,4.37
61715,라루라루,,강서구,,2.8120699,N,0.218,,,,4.45
61716,인뉴욕,,강남구,,4.2592878,Y,0.269,0.33,,,4.71
61717,토스피아,우림블루나인점,강서구,,4.1340264,N,0.215,0.07,,,4
61718,백암왕순대,,강남구,,4.4585674,Y,0.233,0.33,,,4.43
61719,탄탄꼬기,,관악구,,4.287912,N,0.236,0.33,,,4.5
61720,테리브라운,,강서구,,4.4679213,N,0.305,0.33,,,4.44
61721,돈돌부대찌개,등촌점,강서구,,4.2378208,Y,0.217,0.06,,,4.35
61722,서지멀순대국,길동본점,강동구,,4.2434406,Y,0.265,0.16,,,4.29
61723,수타원,,관악구,,4.2800321,N,0.216,0.33,,,4.3
61724,뺑드램,,광진구,,4.2510872,N,0.201,0.1,,,4.45
61725,숯총각꼼장어닭발,신림점,관악구,,4.5474721,N,0.253,0.33,,,4.52
